2113-132485-0048,2113-132485-0014,7131-92815-0028
8625-268295-0037,8625-211892-0030,17-363-0001
829-123190-0001,829-123190-0019,6385-34669-0011
4629-19366-0095,4629-19366-0051,7837-109173-0008
4411-14494-0037,4411-14494-0054,7241-90850-0005
8242-279764-0066,8242-279764-0086,7789-258266-0058
1160-139717-0026,1160-134674-0002,9026-282385-0033
6798-77737-0000,6798-77736-0011,8824-279153-0076
479-134717-0044,479-134717-0017,6159-39642-0037
5246-30101-0049,5246-5084-0042,4172-185480-0033
2240-148521-0011,2240-148522-0017,8197-278218-0009
5115-26950-0030,5115-26951-0036,3733-140718-0093
4535-279849-0001,4535-279849-0022,7205-64110-0013
7713-106738-0028,7713-106733-0029,5445-21280-0005
7835-97730-0082,7835-97730-0076,2607-177749-0019
5983-39666-0033,5983-39652-0021,216-122451-0032
5000-30597-0049,5000-30597-0061,7505-258964-0020
4160-11549-0015,4160-11550-0001,2301-134424-0004
4535-279849-0017,4535-279849-0035,7150-2338-0018
3905-172165-0040,3905-149791-0029,8664-292560-0023
31-121972-0001,31-121972-0006,4420-5802-0089
737-123441-0023,737-123441-0030,7000-83708-0012
6286-75355-0038,6286-75355-0047,405-130895-0022
6078-54013-0048,6078-54013-0078,6550-53320-0013
8005-113328-0038,8005-113328-0041,5220-69519-0031
7389-175357-0030,7389-295014-0022,8565-290391-0022
3346-158751-0112,3346-158751-0084,3394-7597-0020
5480-41798-0027,5480-41791-0027,83-9960-0046
2405-182390-0008,2405-148581-0023,2056-143893-0014
2544-3070-0014,2544-13195-0021,3054-128245-0009
5980-22680-0003,5980-22680-0038,6954-76579-0026
2652-157644-0015,2652-157644-0068,5141-26932-0028
8643-298549-0006,8643-298549-0058,2589-22574-0012
3227-24788-0020,3227-24747-0012,7828-105171-0000
6370-92920-0071,6370-26876-0003,5993-19639-0004
6804-79288-0060,6804-79287-0027,8445-281202-0026
3717-178149-0032,3717-21493-0000,1455-134435-0058
2544-10944-0000,2544-10944-0043,250-142286-0024
6236-52083-0092,6236-52083-0005,3851-9210-0080
133-142924-0011,133-142924-0010,956-127929-0043
2364-131735-0053,2364-131735-0090,5910-53048-0026
1566-133291-0057,1566-133291-0091,4973-44575-0012
7314-77782-0003,7314-77782-0018,1166-14986-0023
2285-163380-0025,2285-163381-0014,4964-30587-0071
8419-286676-0021,8419-293469-0013,2339-181100-0020
6882-79975-0022,6882-86794-0032,1052-139307-0031
3088-5436-0038,3088-5436-0045,4295-39940-0054
1944-159227-0020,1944-159227-0012,8005-113330-0026
1316-132800-0012,1316-132782-0044,2436-2477-0028
1384-130459-0013,1384-130531-0033,3493-17615-0000
7117-86710-0072,7117-86710-0062,1547-130184-0066
8222-274380-0029,8222-274379-0014,6317-54487-0028
5796-51153-0012,5796-51153-0026,8300-275127-0032
5489-65803-0014,5489-10988-0010,4243-14929-0030
5733-55099-0055,5733-55099-0001,82-121544-0103
8337-284523-0017,8337-283569-0009,6821-276753-0006
6614-67846-0014,6614-67845-0030,2882-147159-0102
428-125878-0021,428-125877-0029,2140-17255-0030
2276-149909-0051,2276-149909-0039,7795-105407-0077
4236-8927-0062,4236-8927-0056,6696-68773-0031
561-126312-0047,561-126313-0015,3733-140718-0037
470-123366-0010,470-127690-0002,4967-3586-0023
1789-142896-0033,1789-142896-0018,226-122538-0034
8444-281329-0016,8444-281329-0025,5740-97593-0011
7360-86776-0048,7360-86776-0042,3598-180204-0011
4959-28894-0024,4959-28865-0024,779-123709-0012
911-128684-0083,911-130578-0001,82-121544-0098
7434-96672-0031,7434-96672-0035,4009-43903-0023
439-123866-0022,439-122810-0000,3314-159392-0005
5910-53048-0050,5910-53143-0013,7318-96151-0021
228-133094-0022,228-131212-0032,7107-245689-0084
5321-8590-0021,5321-8590-0040,2792-152929-0024
4267-72637-0007,4267-78186-0036,1614-141486-0028
6076-51653-0046,6076-51654-0027,810-130095-0020
5133-30591-0012,5133-80690-0029,505-125272-0034
1773-139602-0031,1773-139602-0003,2812-160187-0053
1819-144401-0004,1819-144402-0031,7607-89899-0030
6167-73973-0039,6167-73973-0038,7238-107675-0013
1828-141203-0020,1828-141203-0074,6967-50152-0030
3242-8112-0019,3242-8112-0037,644-163239-0029
1296-138074-0044,1296-138074-0016,3796-16817-0006
8226-274369-0060,8226-274369-0006,8118-114469-0000
7026-86946-0027,7026-86941-0004,6705-74244-0048
7189-74189-0025,7189-75356-0026,458-126305-0005
6104-58845-0016,6104-58845-0031,4705-94467-0011
8404-282926-0025,8404-282926-0107,7447-91186-0033
3992-714-0106,3992-714-0058,3330-170956-0045
6418-39655-0028,6418-39656-0027,6482-98864-0019
7912-105669-0066,7912-105670-0039,8444-283136-0064
5513-39477-0056,5513-39476-0017,7078-271888-0061
1313-135022-0010,1313-135022-0016,90-121085-0008
5684-46243-0054,5684-46243-0064,8302-282524-0054
4863-258982-0019,4863-258985-0035,6836-61803-0037
542-125349-0003,542-125351-0041,8322-276748-0074
5009-29142-0001,5009-2500-0044,2769-176256-0035
1050-134121-0001,1050-134119-0002,4015-63729-0031
7073-83692-0005,7073-92170-0029,8677-296078-0010
5389-4861-0041,5389-4861-0025,5375-40162-0000
6690-73075-0028,6690-73075-0011,5296-26679-0022
4152-5710-0005,4152-5710-0054,7238-107675-0049
730-358-0018,730-358-0004,6590-64283-0033
584-47041-0008,584-124229-0008,5321-53046-0062
